abbreviate	v.缩写；缩短；缩写为；简称
proliferate	v.迅速繁殖（或增殖）；猛增
keen	adj.渴望；热切；热衷于；热情的n.恸哭；(号哭着唱出的)挽歌v.（为死者）恸哭
dissipate	v.（使）消散；驱散；消磨（时间、金钱等）
untoward	adj.异常的；意外的；不幸的；棘手的
blight	v.损害；妨害；贻害n.（农作物等的）疫病；（对局势、生活或环境）有害的事物
xenophobia	n.仇外
comply	v.遵从；服从；顺从
shrink	v.收缩；减少；退缩；畏缩n.精神病学家；心理学家
uphold	v.支持；维持（原判）；受理（申诉）
consensus	n.一致的意见；共识
surplus	n.盈余；顺差；剩余；过剩adj.过剩的；剩余的；多余的
malfeasance	n.【法】坏事；(尤指官吏的)非法行为
truculent	adj.爱争吵的；粗暴的；好斗的；寻衅的
concrete	n.混凝土；水泥；具体物；凝结物v.(使)固结；(使)结合；用混凝土修筑；(在…上)浇注混凝土adj.具体的；实际的；固结成的；图案诗歌的
mirth	n.欢乐；欢笑
enjoin	v.责令；禁止；命令；嘱咐
constraint	n.约束；限制；限定；严管
unassailable	adj.无法摧毁的；不可战胜的；不容置疑的
audacious	adj.敢于冒险的；大胆的
banal	adj.平庸的；平淡乏味的；无关紧要的；陈腐的
strident	adj.刺耳的；强硬的；咄咄逼人的
plethora	n.过多；过量；过剩
voracious	adj.饭量大的；贪吃的；狼吞虎咽的；（对信息、知识）渴求的
customary	adj.习俗的；习惯的；（某人）特有的n.风俗志
preciosity	n.(措词用句的)过分雕琢；矫揉造作
incriminate	v.使负罪；连累
inept	adj.缺乏技巧的；无能的；笨拙的
tendentious	adj.倾向性的；有偏见的；有争议的
speculative	adj.推测的；猜测的；推断的；揣摩的
offset	n.【印】胶印；背面蹭脏；【机】偏置(管)；迂回管v.抵消；弥补；补偿adj.胶印的
noisome	adj.令人不舒服的；令人不快的；有恶臭的；有害的
innate	adj.天生的；内在的；心里的
herald	v.预示；是（某事）的前兆；宣称（…是好的或重要的）n.使者；预兆
replete	adj.充满；充足；很饱；饱食
electorate	n.（一国或一地区的）全体选民
pedant	n.书呆子；迂夫子；学究
diffident	adj.缺乏自信的；胆怯的；羞怯的
hegemony	n.支配权；霸权
ideology	n.意识形态；思想意识；思想（体系）；观念形态
complaisant	adj.顺从的；殷勤的
extemporaneous	adj.不用讲稿的；脱口而出的；临时的
ubiquitous	adj.似乎无所不在的；十分普遍的
foreshadow	v.预示；是…的预兆
pillage	v.掠夺；抢劫；劫掠n.掠夺；掠夺物
vituperation	n.辱骂；斥责；责骂
ponderous	adj.慢条斯理的；沉闷乏味的；缓慢的；笨拙的
context	n.上下文；语境；环境
eschew	v.避免
objectionable	adj.令人不快的；令人反感的；讨厌的
extraneous	adj.没有直接联系的；无关的
counterpart	n.职位（或作用）相当的人；对应的事物
spur	v.刺激；激励；促进；鞭策n.刺激；激励；鞭策；靴刺
partisan	n.游击队员；坚定的支持者；铁杆拥护者adj.（对个别人、团体或思想）过分支持的
suspense	n.悬念；焦虑；（对即将发生的事等的）担心；兴奋
invigorate	v.使生气勃勃；使精神焕发；使蒸蒸日上；使兴旺发达
hodgepodge	n.同“hotch-potch”
phlegmatic	adj.冷静的；镇定的；不易冲动的
impinge	v.侵犯；对…有明显作用（或影响）；妨碍
complementary	adj.互补的；补充的；相互补足的
diminution	n.减少；缩减；降低；缩小
repercussion	n.反响
instructive	adj.富有教益的；增长知识的
opprobrium	n.（众人的）谴责
pensive	adj.心事重重的；沉思的
salacious	adj.淫秽的；色情的
propitious	adj.吉利的；吉庆的；吉祥的
paltry	adj.可忽略不计的；微小的；微不足道的；无价值的
animus	n.敌意；仇恨；愤怒
imminent	adj.即将发生的；临近的
naive	adj.缺乏经验的；幼稚的；无知的；轻信的
intermediary	n.中间人；调解人adj.中间人的；媒介的；中间的
digress	v.离题；偏离主题
sufficient	adj.足够的；充足的n.足够(的量)
galvanize	v.激励；刺激；使震惊；使振奋
precocious	adj.（能力或行为）早熟的
counterintuitive	adj.反常的
ineluctable	adj.无可避免的
caustic	n.焦散线；刻薄；【物】焦散面；【化】苛性碱adj.腐蚀性的；苛性的；尖酸刻薄的；挖苦的
tractable	adj.易处理的；易驾驭的
exculpate	v.证明（或宣布）无罪；为（某人）开脱
circumstantial	adj.按情况推测的；视情况而定的；间接的
malaise	n.（影响某个情况或某群人的）难以捉摸的问题
distract	v.转移（注意力）；分散（思想）；使分心
esoteric	adj.只有内行才懂的；难领略的n.受秘传的人
callous	adj.冷酷无情的；无同情心的；冷漠的v.使硬结；使无感觉；使无情
permeate	v.渗透；弥漫；扩散；感染
fortuitous	adj.偶然发生的；（尤指）巧合的
ulterior	adj.以后的；隐藏的；秘而不宣的
mercenary	adj.只为金钱的n.雇佣兵
grudge	n.怨恨；积怨；嫌隙v.勉强做；不情愿地给；吝惜；认为…不应得到
articulate	v.说；表达；清晰认真地发音；【语言学】形成(声音)adj.明白的；音节分明的；有关节的；有节的
obsolete	adj.淘汰的；废弃的；过时的n.废词；被废弃的事物
tantamount	adj.(价值,结果)相等的
pedestrian	n.行人；步行者adj.行人使用的；行人的；缺乏想象的；乏味的
illustrious	adj.著名的；杰出的；卓越的
espouse	v.支持
salubrious	adj.环境宜人的；清洁而有益健康的
lionize	v.把（某人）视为名人；把（某人）当成要人对待
hypothesis	n.假设；（凭空的）猜想
dwindle	v.变小
elegy	n.挽歌；挽诗；哀歌
precarious	adj.不稳的；不确定的；不保险的；危险的
trivial	adj.不重要的；琐碎的；微不足道的
deteriorate	v.退化；变质；败坏(风俗)；降低(品质等)
recluse	adj.隐居的；孤寂的n.隐居者；喜欢独处的人
waver	v.动摇；颤抖；犹豫不决；减弱n.犹豫；挥动者；波动的东西；做卷发的理发师[美容师]
verisimilitude	n.貌似真实；逼真
proclaim	v.宣告；宣布；表明；声明
intangible	adj.难以形容（或理解）的；不易度量的n.不可捉摸的东西
dreary	adj.令人沮丧的；沉闷的；枯燥无味的n.可怕的人物
elevate	v.提高；提拔；举起；抬起
ignorant	adj.（对某事物）不了解的；无知的；愚昧的；无学识的
rebuke	v.指责；批评
fanfare	n.号角花彩；（为庆祝而在媒体上的）喧耀v.热闹地介绍[宣布]
utilitarian	n.功利主义者adj.实用的；功利的；实惠的；功利主义的
fungible	adj.可代替的；【法】可互换的n.【法】(偿还债务时所用的)代替物
mundane	adj.单调的；平凡的
contravene	v.违犯
intransigent	adj.不妥协的；不愿合作的；不肯让步的n.不妥协的人
paragon	n.典范；完人v.〈诗〉比较；强过；〈古〉与…竞争
vacuous	adj.空洞的；空洞无物的
commonplace	n.老生常谈；常见的事；平常的事；平淡无奇的言语等adj.平凡的；普通的；普遍的v.把…记入备忘录；由备忘录中摘出
aggravate	v.使严重；使恶化；（尤指故意地）激怒
garner	n.加纳；〈诗〉谷仓；积累物v.获得
ostentation	n.卖弄
disabuse	v.去掉（某人）的错误想法；使省悟
square	n.平方；正方形；四方形；正方形物v.贿赂；使成正方形；使成方形；使成平方adj.正方形的；四方形的；成直角的；方的adv.正对着地；径直地
erratic	adj.不规则的；不确定的；不稳定的；不可靠的n.漂砾；漂石
imperative	adj.重要紧急的；迫切的；急需处理的；表示权威的n.重要紧急的事；必要的事；祈使语气；祈使语气动词
abdicate	v.退(位)；让(位)；辞(职)；【法律】废(嫡)
frivolous	adj.无谓；轻易；不务正业；轻佻的
elite	n.精英；精华；杰出人物
probity	n.正直；诚实
rudimentary	adj.基础的；基本的；未充分发展的；原始的
aesthetic	n.美学；美感；审美观adj.审美的；有审美观点的；美学的；艺术的
forestall	v.预先阻止；在（他人）之前行动；先发制人
panegyric	n.颂词；颂文
hubris	n.傲慢；狂妄
assert	v.断言；明确肯定；坚持自己的主张；表现坚定
undulate	v.波动；起伏；荡漾adj.波状的
devolve	v.移交；移归；流[滚]向下(向前)
impunity	n.免于惩罚；不受惩处；逃过惩罚
scorn	n.轻蔑；不屑一顾；受侮弄[嘲笑]的人；笑柄v.蔑视；看不起；拒绝
anodyne	adj.不得罪人的；温和的n.止痛药[剂]
derivative	n.衍生物；派生词；衍生字；派生物adj.模仿他人的；缺乏独创性的
absurd	adj.荒唐；不合理的；荒唐无稽的；荒唐可笑的n.荒诞的事物；悖理的东西
balkanize	v.使巴尔干化（将某地区分裂成敌对区域）
byzantine	adj.拜占庭帝国的；东罗马帝国的n.拜占廷人；拜占廷风格的画家
contumacious	adj.藐视权威的；违抗的；不服从的
reiterate	v.反复地说；重申
embody	v.体现；包含；收录；包括
wane	v.衰落；减弱；缺；亏n.衰退(期)；(木材的)缺损；月亏(期)
tenet	n.原则；教义；信条
windfall	n.意外之财；意外获得的东西；风吹落的果子（尤指苹果）
assent	n.同意；赞成v.赞成（要求、想法或建议）
revitalize	v.使更强壮；使恢复生机（或健康）
brace	n.支架；大括号；箍子；夹子v.（为困难或坏事）使做准备；使防备；使（身体或身体部位）顶住
inauspicious	adj.预示前景黯淡的；不祥的；不吉利的
affront	n.冒犯；侮辱v.冒犯；侮辱
stoic	adj.斯多噶学派的；同“stoical”n.斯多葛派人（对痛苦或困难能默默承受或泰然处之）
brook	n.小河；美国俚语；【名】布鲁克v.〈正式〉忍受
dispatch	n.派遣；发送；电讯；快信v.派遣；派出；发出；调遣
justification	n.正当理由
resurgence	n.复苏；复兴
panacea	n.万灵药；万能之计
suggestive	adj.使人想起…的；引起联想的；性暗示的；性挑逗的
misgiving	n.疑虑；顾虑
polarize	v.（使）两极化；使（光波等）偏振；使（物体）极化
deliberate	v.深思熟虑；仔细考虑；反复思考adj.故意的；蓄意的；存心的；不慌不忙的
didactic	adj.道德说教的；教诲的；教导的；说教似的
temerity	n.鲁莽；冒失；蛮勇
serendipity	n.意外发现珍品的运气或本领；意外新发现
alarmist	adj.危言耸听的；骇人的n.危言耸听者；慌报情况夸大事实者
flamboyant	adj.炫耀的；卖弄的；艳丽的；绚丽夺目的n.火焰色红花
demarcate	v.标出…的界线；给…划界
vitiate	v.使失效；削弱效用
caprice	n.反复无常；善变；任性
attrition	n.消耗；自然减员
ascribe	v.把…归因于；认为…归于；把…归于；说是(某人)所…
covert	adj.秘密的；隐蔽的；暗中的n.（动物可藏身的）矮树丛
compound	v.合成；加重；构成；使…复杂化adj.混合；混合的；复合物合成的；〔医〕哆开性n.大院；混合物；合成物；合成词
slippery	adj.滑的；滑得抓不住（或站不稳、难以行走）的；油滑的；滑头滑脑的
provenance	n.起源；出处；原产地；发源地
empirical	adj.凭经验的
intelligible	adj.易懂的；容易理解的
intimate	n.知己；密友；至交v.暗示；透露；（间接）表示adj.亲密的；密切的；个人隐私的（常指性方面的）；宜于密切关系的
demise	n.死亡；逝世；终止；失败v.遗赠；逊(位)
inert	adj.无活动能力的；无行动力的；惰性的；不活泼的
unimpeachable	adj.不容置疑的；无可指摘的；无可怀疑的
expunge	v.抹去；除去；删去
inviolable	adj.不容亵渎的；不可侵犯的；不容破坏的
affable	adj.和蔼可亲的；平易近人的
oscillate	v.振动；振荡；摆动；（情感或行为）摇摆
morose	adj.阴郁的；脾气不好的；闷闷不乐的
allude	v.暗指；(婉转)提到；指…说
vilify	v.诋毁；诽谤；污蔑；中伤
entrench	v.根深蒂固；以壕沟防护；挖掘壕沟；侵犯
slant	n.倾斜；斜面；歪斜；斜线v.歪斜；有倾向性地陈述；有偏向地报道adj.歪斜的
paradox	n.悖论；矛盾的人（或事物、情况）；似非而是的隽语；悖论修辞
retribution	n.报应；惩罚；报复
cumbersome	adj.大而笨重的；难以携带的；缓慢复杂的；冗长的
exploit	v.开发；利用；开拓；开采n.英勇（或激动人心、引人注目）的行为
implausible	adj.似乎不合情理的；不像真实的
amalgam	n.混合物；综合体；汞齐（尤用于补牙）
chivalrous	n.(像)骑士的；豪侠的；骑士制度的；敬重女人的adj.殷勤的
villainous	adj.邪恶的；可憎的
nostalgia	n.怀旧；念旧
uncanny	adj.异常的；难以解释的
condemn	v.指责；宣判；判处（某人某种刑罚）；迫使…接受困境（或不愉快的状况）
oblivious	adj.不知道；未注意；未察觉
